,Rank,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,500.5,78.88194999999997,20340091.414,4005900.626,79.948,26.48,2011.275
std,288.8194360957494,52.47139901901328,77718045.11183791,9207763.43080744,161.4481551545349,63.526161328803546,7.665515973183743
min,1.0,36.55,1507867.0,100711.0,1.0,0.0,1898.0
25%,250.75,46.582499999999996,3186723.5,628387.0,14.0,4.0,2010.0
50%,500.5,61.105000000000004,6361153.5,1271955.5,30.0,10.0,2013.0
75%,750.25,93.5225,16624100.25,3549436.25,70.0,23.0,2015.0
max,1000.0,477.43,2120071949.0,145398192.0,1798.0,767.0,2017.0
